transcript_id,SRR21831518,SRR21831519,SRR21831520,SRR21837144,SRR21837145,SRR21837146
TrSC58v2_82.t1.e1,3,4,12,19,5,13
TrSC58v2_82.t1,1,0,0,0,0,0
TrSC58v2_80.t1.e1,4,3,14,16,7,24
TrSC58v2_80.t1,3,1,4,15,6,23
TrSC58v2_83.t1.e1,4,4,3,11,8,27
TrSC58v2_83.t1,0,0,1,9,0,11
TrSC58v2_81.t1.e1,8,8,22,11,25,159
TrSC58v2_81.t1,7,6,16,10,1,3
TrSC58v2_84.t1.e1,4,0,11,9,14,22
TrSC58v2_84.t1,3,0,1,8,10,18
TrSC58v2_85.t1.e1,3,10,4,10,18,47
TrSC58v2_85.t1,0,8,0,7,16,36
TrSC58v2_87.t1.e1,21,16,19,27,14,61
TrSC58v2_87.t1,1,1,16,25,11,55
TrSC58v2_151.t1.e1,7,4,5,4,12,19
TrSC58v2_151.t1,5,0,4,1,2,17
TrSC58v2_152.t1.e1,4,7,4,10,15,53
TrSC58v2_152.t1,1,2,1,9,14,45
TrSC58v2_153.t1.e1,2,3,4,5,4,15
TrSC58v2_153.t1,1,1,0,2,0,2
TrSC58v2_154.t1.e1,4,7,10,15,5,24
TrSC58v2_154.t1,2,2,9,13,4,19
TrSC58v2_155.t1.e1,4,7,13,3,12,30
TrSC58v2_155.t1,3,6,9,3,8,30
TrSC58v2_157.t1.e1,7,13,30,48,28,106
TrSC58v2_157.t1,5,10,23,38,26,101
TrSC58v2_159.t1.e1,4,0,4,0,23,47
TrSC58v2_159.t1,0,0,3,0,0,3
TrSC58v2_162.t1.e1,3,4,9,5,5,24
TrSC58v2_162.t1,1,1,0,1,5,17
TrSC58v2_160.t1.e1,6,4,13,32,11,39
TrSC58v2_160.t1,0,3,11,12,9,31
TrSC58v2_165.t1.e1,6,3,6,8,6,4
TrSC58v2_165.t1,4,3,4,7,2,3
MSTRG.166.1,11,8,14,33,24,51
TrSC58v2_166.t1.e1,7,11,29,53,36,100
TrSC58v2_166.t1,6,0,21,44,34,85
TrSC58v2_167.t1.e1,8,10,8,16,14,40
TrSC58v2_167.t1,0,9,6,13,13,32
TrSC58v2_171.t1.e1,3,5,5,5,4,6
TrSC58v2_171.t1,1,2,4,5,3,6
TrSC58v2_168.t1.e1,9,14,27,14,17,70
TrSC58v2_168.t1,6,11,24,12,14,54
TrSC58v2_170.t1.e1,11,2,5,5,15,46
TrSC58v2_170.t1,9,1,5,55,11,37
TrSC58v2_172.t1.e1,2,4,17,9,9,13
TrSC58v2_172.t1,2,2,0,8,0,11
TrSC58v2_174.t1.e1,6,7,8,13,16,29
TrSC58v2_174.t1,2,0,0,12,3,24
TrSC58v2_173.t1.e1,6,11,16,40,4,27
TrSC58v2_173.t1,5,9,12,36,4,24
